mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,protocol_scope,active_clients,dropped_clients,max_abs_error_vs_plain,round,method,privacy_mode,mean_client_loss,dropout_rate_requested,seed
secureagg_sim,0.0005297999960021116,1.0700001439545304e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.1937746758071697e-15,13,fedavg,secureagg_sim,0.164924715893378,0.0,31
secureagg_sim,0.00042839999514399096,9.2999980552122e-06,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.0669230216263657e-15,14,fedavg,secureagg_sim,0.16189425573695218,0.0,31
secureagg_sim,0.0006770999971195124,4.27999984822236e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.6193643648243494e-15,15,fedavg,secureagg_sim,0.15912575251093147,0.0,31
secureagg_sim,0.00046720000682398677,1.1800002539530396e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.8980724070537534e-15,16,fedavg,secureagg_sim,0.15658510955660015,0.0,31
secureagg_sim,0.00044720000005327165,1.0299998393747956e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.2984405217686401e-15,17,fedavg,secureagg_sim,0.15424439559668007,0.0,31
secureagg_sim,0.0004428999964147806,1.0700001439545304e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.9266272605067414e-15,18,fedavg,secureagg_sim,0.1520803702490682,0.0,31
secureagg_sim,0.0004669999980251305,1.1500000255182385e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.4085954624931674e-15,19,fedavg,secureagg_sim,0.15007344560091568,0.0,31
secureagg_sim,0.00046969999675638974,1.290000363951549e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.0211696899474774e-15,20,fedavg,secureagg_sim,0.14820693479290292,0.0,31
secureagg_sim,0.00043279999954393134,9.800001862458885e-06,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.7198295698971364e-15,21,fedavg,secureagg_sim,0.1464664947662995,0.0,31
secureagg_sim,0.00041259999852627516,9.10000380827114e-06,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.0105445086571194e-15,22,fedavg,secureagg_sim,0.14483970374799612,0.0,31
secureagg_sim,0.0009685000040917657,2.3100001271814108e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.954165995687873e-15,23,fedavg,secureagg_sim,0.14331573448154078,0.0,31
secureagg_sim,0.0005578000054811127,1.7300000763498247e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,2.4468274628652864e-15,24,fedavg,secureagg_sim,0.14188509701923746,0.0,31
secureagg_sim,0.00042460000258870423,9.79999458650127e-06,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.566888979676051e-15,25,fedavg,secureagg_sim,0.1405394331027558,0.0,31
secureagg_sim,0.00043169999844394624,9.800001862458885e-06,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.91101474922295e-15,26,fedavg,secureagg_sim,0.13927134953830078,0.0,31
secureagg_sim,0.00042269999539712444,1.080000220099464e-05,1344,2688,2.0,pairwise-mask and dropout-reconstruction arithmetic simulation; no network or collusion proof,8,0,1.7433970933566911e-15,27,fedavg,secureagg_sim,0.13807428156565013,0.0,31
