round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
24,fedprox,plain,0.1571294647487281,plain,3.210734575986862e-06,2.491287887096405e-05,3200,3200,1.0,31
25,fedprox,plain,0.15440766058328476,plain,3.054272383451462e-06,2.5720801204442978e-05,3200,3200,1.0,31
26,fedprox,plain,0.15185639688572455,plain,3.0724331736564636e-06,2.5431159883737564e-05,3200,3200,1.0,31
27,fedprox,plain,0.14945918034150885,plain,3.203749656677246e-06,2.5270041078329086e-05,3200,3200,1.0,31
28,fedprox,plain,0.14720161651627,plain,3.0510127544403076e-06,2.482021227478981e-05,3200,3200,1.0,31
29,fedprox,plain,0.14507108433900004,plain,3.262888640165329e-06,2.4768058210611343e-05,3200,3200,1.0,31
30,fedprox,plain,0.14305646943518238,plain,3.2139942049980164e-06,2.4892855435609818e-05,3200,3200,1.0,31
1,fedavg,secureagg,0.5411761716203037,secureagg,4.75812703371048e-06,2.8937123715877533e-05,3200,6400,2.0,31
2,fedavg,secureagg,0.4538210855564378,secureagg,3.4337863326072693e-06,2.5758054107427597e-05,3200,6400,2.0,31
3,fedavg,secureagg,0.39512922783911997,secureagg,3.4943222999572754e-06,2.5555957108736038e-05,3200,6400,2.0,31
4,fedavg,secureagg,0.3529697068503351,secureagg,3.616325557231903e-06,2.7723144739866257e-05,3200,6400,2.0,31
5,fedavg,secureagg,0.32114533869970063,secureagg,3.4742988646030426e-06,2.5342218577861786e-05,3200,6400,2.0,31
6,fedavg,secureagg,0.2962152150147573,secureagg,3.334134817123413e-06,2.5077257305383682e-05,3200,6400,2.0,31
7,fedavg,secureagg,0.27612167493426726,secureagg,3.4249387681484222e-06,2.5446061044931412e-05,3200,6400,2.0,31
8,fedavg,secureagg,0.2595574516722291,secureagg,3.3550895750522614e-06,2.9101967811584473e-05,3200,6400,2.0,31
9,fedavg,secureagg,0.24565066650148978,secureagg,3.480818122625351e-06,2.5572720915079117e-05,3200,6400,2.0,31
10,fedavg,secureagg,0.2337965520403243,secureagg,3.4458935260772705e-06,2.5318004190921783e-05,3200,6400,2.0,31
11,fedavg,secureagg,0.22356192439559325,secureagg,3.455672413110733e-06,2.5067012757062912e-05,3200,6400,2.0,31
12,fedavg,secureagg,0.21462809878765782,secureagg,3.6568380892276764e-06,2.4714041501283646e-05,3200,6400,2.0,31
13,fedavg,secureagg,0.20675527215493852,secureagg,3.396999090909958e-06,2.53911130130291e-05,3200,6400,2.0,31
14,fedavg,secureagg,0.1997594731440866,secureagg,3.703869879245758e-06,2.574734389781952e-05,3200,6400,2.0,31
15,fedavg,secureagg,0.19349717340012043,secureagg,3.4170225262641907e-06,2.535572275519371e-05,3200,6400,2.0,31
16,fedavg,secureagg,0.1878547348160206,secureagg,3.495253622531891e-06,2.4966895580291748e-05,3200,6400,2.0,31
17,fedavg,secureagg,0.18274100271317859,secureagg,3.4780241549015045e-06,2.4915672838687897e-05,3200,6400,2.0,31
18,fedavg,secureagg,0.17808200000175495,secureagg,3.3960677683353424e-06,2.507120370864868e-05,3200,6400,2.0,31
19,fedavg,secureagg,0.17381705720207907,secureagg,3.5599805414676666e-06,2.5235116481781006e-05,3200,6400,2.0,31
20,fedavg,secureagg,0.16989594400622826,secureagg,3.6014243960380554e-06,2.632616087794304e-05,3200,6400,2.0,31
