method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_heagg,multimodal,none,0.9987698195735375,0.9986667774319594,0.008064516129032258,0.9834710743801653,0.9830508474576272,0.9830508474576272,116,2,122,2,242,14,31
fedavg_heagg,multimodal,none,0.998059665292263,0.99797557129425,0.007518796992481203,0.9649805447470817,0.9457364341085271,0.9838709677419355,122,7,126,2,257,15,31
fedavg_heagg,multimodal,none,0.9968959094985168,0.9975401610421104,0.009174311926605505,0.9752066115702479,0.9703703703703703,0.9849624060150376,131,4,105,2,242,16,31
fedavg_heagg,multimodal,none,0.9979906663209748,0.9982792833160036,0.017241379310344827,0.9678714859437751,0.9432624113475178,1.0,133,8,108,0,249,17,31
fedavg_heagg,multimodal,none,0.9931673604021047,0.9945791567926594,0.04672897196261682,0.9601769911504425,0.9435483870967742,0.9831932773109243,117,7,100,2,226,18,31
fedavg_heagg,multimodal,none,0.9966666666666666,0.9969518380501016,0.016666666666666666,0.968,0.9621212121212122,0.9769230769230769,127,5,115,3,250,19,31
fedavg_plain,multimodal,none,0.9948157489141096,0.9941846373451719,0.02459016393442623,0.9748953974895398,0.9586776859504132,0.9914529914529915,116,5,117,1,239,0,37
fedavg_plain,multimodal,none,0.9994430520746309,0.9995467644473872,0.0,0.9898305084745763,0.9877300613496932,0.9938271604938271,161,2,131,1,295,1,37
fedavg_plain,multimodal,none,0.9974198506807203,0.9973144597360247,0.014492753623188406,0.9703703703703703,0.9558823529411765,0.9848484848484849,130,6,132,2,270,2,37
fedavg_plain,multimodal,none,0.9903670284111694,0.9896953621489677,0.0423728813559322,0.9766536964980544,0.9586206896551724,1.0,139,6,112,0,257,3,37
fedavg_plain,multimodal,none,0.992477914808012,0.9932905681454015,0.07766990291262135,0.9392523364485982,0.9298245614035088,0.954954954954955,106,8,95,5,214,4,37
fedavg_plain,multimodal,none,0.9983291562238931,0.9985144383537186,0.008771929824561403,0.9708333333333333,0.9612403100775194,0.9841269841269841,124,5,109,2,240,5,37
