tier,method,candidate_negative_ratio,prevalence,fpr_at_95_recall_mean,fpr_at_95_recall_std,expected_precision_at_95_recall_mean,expected_precision_at_95_recall_std,expected_reviews_per_true_positive_mean,expected_reviews_per_true_positive_std,seeds
VCSL public-label audit,mean_score_fusion,100,0.01,0.39245454545454544,0.10143511544148852,0.025004736848176574,0.006818647013043148,41.89789473684211,10.570606767060381,"31,37,41"
VCSL public-label audit,mean_score_fusion,1000,1e-05,0.35198666666666667,0.034877199333279825,2.7169700083065392e-05,2.7367102577295315e-06,37051.857557894735,3671.247427503842,"31,37,41"
VCSL public-label audit,mean_score_fusion,1000,0.001,0.35198666666666667,0.034877199333279825,0.00271231036365115,0.0002724575543588579,371.14176842105263,36.67612856204901,"31,37,41"
VCSL public-label audit,mean_score_fusion,1000,0.01,0.35198666666666667,0.034877199333279825,0.02670683522472948,0.0026173069913075658,37.68071578947369,3.634571298941792,"31,37,41"
VCSL public-label audit,mean_score_fusion,10000,1e-05,0.3515736666666667,0.033319438355610576,2.7186472728840455e-05,2.624154450625321e-06,37008.384308421046,3507.2742274975785,"31,37,41"
VCSL public-label audit,mean_score_fusion,10000,0.001,0.3515736666666667,0.033319438355610576,0.0027139842414709136,0.00026125000592092134,370.7074663157894,35.038019912899955,"31,37,41"
VCSL public-label audit,mean_score_fusion,10000,0.01,0.3515736666666667,0.033319438355610576,0.026723262961701216,0.002509481366405174,37.637676842105265,3.4722362075846833,"31,37,41"
VCSL public-label audit,platt_calibrated_score,1,1e-05,0.39111111111111113,0.08833857426800425,2.507361848202027e-05,5.232800915418319e-06,41170.178947368426,9298.704303395954,"31,37,41"
VCSL public-label audit,platt_calibrated_score,1,0.001,0.39111111111111113,0.08833857426800425,0.002503445912704736,0.0005212848648970894,412.2842105263158,92.89498494077498,"31,37,41"
VCSL public-label audit,platt_calibrated_score,1,0.01,0.39111111111111113,0.08833857426800425,0.024684354427086507,0.005035733791359202,41.75789473684211,9.20580931845518,"31,37,41"
VCSL public-label audit,platt_calibrated_score,10,1e-05,0.39569230769230773,0.09187745890925204,2.4910342750889076e-05,5.880883237236161e-06,41652.40534412956,9671.214751017154,"31,37,41"
VCSL public-label audit,platt_calibrated_score,10,0.001,0.39569230769230773,0.09187745890925204,0.0024871355781127436,0.0005857130167112395,417.1017004048584,96.61640152667667,"31,37,41"
VCSL public-label audit,platt_calibrated_score,10,0.01,0.39569230769230773,0.09187745890925204,0.024522942976855797,0.005646679868812755,42.2353036437247,9.57459834949048,"31,37,41"
VCSL public-label audit,platt_calibrated_score,100,1e-05,0.39245454545454544,0.10143511544148852,2.5422321650554744e-05,7.120402752542007e-06,41311.59167464115,10677.273798982542,"31,37,41"
VCSL public-label audit,platt_calibrated_score,100,0.001,0.39245454545454544,0.10143511544148852,0.002538023863373892,0.0007089737623803666,413.6969377990431,106.66703192215476,"31,37,41"
VCSL public-label audit,platt_calibrated_score,100,0.01,0.39245454545454544,0.10143511544148852,0.025004736848176574,0.006818647013043148,41.89789473684211,10.570606767060381,"31,37,41"
VCSL public-label audit,platt_calibrated_score,1000,1e-05,0.35198666666666667,0.034877199333279825,2.7169700083065392e-05,2.7367102577295315e-06,37051.857557894735,3671.247427503842,"31,37,41"
VCSL public-label audit,platt_calibrated_score,1000,0.001,0.35198666666666667,0.034877199333279825,0.00271231036365115,0.0002724575543588579,371.14176842105263,36.67612856204901,"31,37,41"
VCSL public-label audit,platt_calibrated_score,1000,0.01,0.35198666666666667,0.034877199333279825,0.02670683522472948,0.0026173069913075658,37.68071578947369,3.634571298941792,"31,37,41"
VCSL public-label audit,platt_calibrated_score,10000,1e-05,0.3515736666666667,0.033319438355610576,2.7186472728840455e-05,2.624154450625321e-06,37008.384308421046,3507.2742274975785,"31,37,41"
VCSL public-label audit,platt_calibrated_score,10000,0.001,0.3515736666666667,0.033319438355610576,0.0027139842414709136,0.00026125000592092134,370.7074663157894,35.038019912899955,"31,37,41"
VCSL public-label audit,platt_calibrated_score,10000,0.01,0.3515736666666667,0.033319438355610576,0.026723262961701216,0.002509481366405174,37.637676842105265,3.4722362075846833,"31,37,41"
VCSL public-label audit,score_only_logistic,1,1e-05,0.3825925925925926,0.11115739776636238,2.6332800265471242e-05,7.868517840701018e-06,40273.50175438597,11700.66170446155,"31,37,41"
VCSL public-label audit,score_only_logistic,1,0.001,0.3825925925925926,0.11115739776636238,0.0026286228013791143,0.0007833947789111793,403.32631578947365,116.89077933536423,"31,37,41"
VCSL public-label audit,score_only_logistic,1,0.01,0.3825925925925926,0.11115739776636238,0.025871215735693714,0.007528651719619094,40.8701754385965,11.583770925126181,"31,37,41"
VCSL public-label audit,score_only_logistic,10,1e-05,0.381025641025641,0.10577472246815393,2.634792390097094e-05,7.741872759146494e-06,40108.56113360324,11134.069970624132,"31,37,41"
VCSL public-label audit,score_only_logistic,10,0.001,0.381025641025641,0.10577472246815393,0.0026301417869955012,0.0007707363112650546,401.6785425101214,111.23047131124817,"31,37,41"
VCSL public-label audit,score_only_logistic,10,0.01,0.381025641025641,0.10577472246815393,0.02588697544633455,0.007402705739776762,40.70688259109312,11.022839499312884,"31,37,41"
VCSL public-label audit,score_only_logistic,100,1e-05,0.37736363636363635,0.11647876939171475,2.7212752793937155e-05,9.95048451060092e-06,39723.09081339713,12260.800484633774,"31,37,41"
VCSL public-label audit,score_only_logistic,100,0.001,0.37736363636363635,0.11647876939171475,0.0027159967286593217,0.000990159969044748,397.82765550239236,122.48662170770845,"31,37,41"
VCSL public-label audit,score_only_logistic,100,0.01,0.37736363636363635,0.11647876939171475,0.02669101278545158,0.009471605106865266,40.32526315789474,12.138313862926067,"31,37,41"
VCSL public-label audit,score_only_logistic,1000,1e-05,0.2914966666666667,0.08191418822971594,3.47054372694494e-05,1.1338415425284195e-05,30684.55281052631,8622.459903982488,"31,37,41"
VCSL public-label audit,score_only_logistic,1000,0.001,0.2914966666666667,0.08191418822971594,0.0034612349916075223,0.0011265285384101595,307.53175789473687,86.13923583314342,"31,37,41"
VCSL public-label audit,score_only_logistic,1000,0.01,0.2914966666666667,0.08191418822971594,0.03379117097549869,0.010629384715797116,31.37702105263158,8.536320668149347,"31,37,41"
VCSL public-label audit,score_only_logistic,10000,1e-05,0.2906883333333334,0.07974511042272958,3.4695119136369334e-05,1.105401676813709e-05,30599.465942105264,8394.138207539514,"31,37,41"
VCSL public-label audit,score_only_logistic,10000,0.001,0.2906883333333334,0.07974511042272958,0.0034602508710839144,0.0010982851485351716,306.6817315789474,83.85827927611247,"31,37,41"
VCSL public-label audit,score_only_logistic,10000,0.01,0.2906883333333334,0.07974511042272958,0.033785313241746856,0.01036393032561815,31.29278421052632,8.3102799282634,"31,37,41"
