tier,attack_scenario,attacker_fraction,method,communication_rounds,local_epochs,robustness_scope,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fpr_at_95_recall_mean,fpr_at_95_recall_std,brier_mean,brier_std,ece_15_mean,ece_15_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,n_mean,n_std,ece_mean,ece_std,expected_precision_prev_0.01_mean,expected_precision_prev_0.01_std,reviews_per_true_positive_prev_0.01_mean,reviews_per_true_positive_prev_0.01_std,expected_precision_prev_0.001_mean,expected_precision_prev_0.001_std,reviews_per_true_positive_prev_0.001_mean,reviews_per_true_positive_prev_0.001_std,expected_precision_prev_1e-05_mean,expected_precision_prev_1e-05_std,reviews_per_true_positive_prev_1e-05_mean,reviews_per_true_positive_prev_1e-05_std,seeds
VCSL public-label audit,label_flip,0.2,krum,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.918356378600823,0.026999537846906823,0.9186465529688969,0.02433808121655483,0.3625925925925926,0.10445232436783598,0.11912020328248307,0.019553185699629497,0.05479394341495458,0.02509328043686977,0.8281481481481481,0.03234809386895515,0.8610669502958436,0.042156080597822165,0.7866666666666667,0.09430054396763887,708.0,84.870489570875,117.33333333333333,46.23130252689549,782.6666666666666,46.23130252689549,192.0,84.870489570875,1800.0,0.0,0.05479394341495458,0.02509328043686977,0.023030409779675697,0.00916037230227725,47.63884151523845,16.04212839791141,0.002335991519985815,0.0009508374605786326,471.62830983558797,161.87965928801503,2.3396889330336605e-05,9.54770972092652e-06,47110.46982507404,16204.008057199413,"31,37,41"
VCSL public-label audit,label_flip,0.2,trimmed_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9178744855967079,0.028236221788711154,0.9183044751944901,0.02536214516781045,0.3744444444444445,0.11359447039228497,0.11883706227014451,0.019682864859678406,0.05446283179605029,0.02235947997973845,0.8288888888888889,0.03473444229409021,0.8611233292749864,0.039072313548729885,0.7870370370370371,0.08798381819047461,708.3333333333334,79.18543637142712,116.33333333333333,41.04063027456247,783.6666666666666,41.04063027456247,191.66666666666666,79.18543637142713,1800.0,0.0,0.05446283179605029,0.02235947997973845,0.02245967632479712,0.009058402482328655,49.16827973427269,17.564112558069198,0.002276911062341116,0.0009386134790890542,487.0617318640243,177.23786308597096,2.2803810063989657e-05,9.423132936968746e-06,48655.341466136706,17741.350421155166,"31,37,41"
VCSL public-label audit,sign_flip,0.1,coordinate_median,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9182078189300412,0.027387846270840257,0.9184860600992929,0.024599631147646062,0.3681481481481481,0.10862969908194418,0.11847957108008556,0.020370937790632884,0.05341485859059806,0.021546290520622596,0.8301851851851852,0.032896833374817934,0.8651812349404282,0.03576685909215332,0.784814814814815,0.08632649288883222,706.3333333333334,77.69384359994899,112.0,38.1051177665153,788.0,38.1051177665153,193.66666666666666,77.69384359994898,1800.0,0.0,0.05341485859059806,0.021546290520622596,0.022664818946127586,0.00885759203258286,48.43587027893293,16.823979834071174,0.0022978666311967264,0.0009180550273926347,479.6710546328687,169.76925105290005,2.301385646839256e-05,9.217014344511888e-06,47915.5413335658,16993.749085124076,"31,37,41"
VCSL public-label audit,sign_flip,0.1,fedavg_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9177493827160493,0.026074098742038424,0.9177437995326678,0.023574287073109518,0.3596296296296296,0.09626566464373688,0.12417002824395325,0.015068626972061206,0.07881271308871945,0.025004330450514867,0.8253703703703703,0.03211828703620287,0.8724259490307524,0.030616496850462922,0.7644444444444445,0.08783401855098523,688.0,79.05061669588669,102.33333333333333,33.291640592396966,797.6666666666666,33.291640592396966,212.0,79.05061669588669,1800.0,0.0,0.07881271308871945,0.025004330450514867,0.02234537242767227,0.008216031581299677,48.54522417476565,15.648221157098787,0.0022641860651355784,0.0008510494563866079,480.77453485445335,157.90477713072414,2.2675071657985927e-05,8.543714022200973e-06,48025.9987096201,15806.125934229512,"31,37,41"
VCSL public-label audit,sign_flip,0.1,krum,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.918441975308642,0.027111216605745038,0.9187465469976576,0.02446388467863829,0.3651851851851852,0.10061743543122734,0.11886876068157942,0.019962430162405422,0.05397427474678623,0.02543058713449941,0.8285185185185185,0.03298116434642801,0.8614211833812137,0.042009413284488865,0.7870370370370369,0.09489652150758045,708.3333333333334,85.40686935682243,117.0,45.967379738244816,783.0,45.967379738244816,191.66666666666666,85.40686935682243,1800.0,0.0,0.05397427474678623,0.02543058713449941,0.022728643484636973,0.008644471331412277,47.91556241636486,15.582953581652985,0.0023042245359381546,0.0008965092907945021,474.420675292409,157.24616796031648,2.3077403687709453e-05,9.001301367909693e-06,47389.98309165726,15740.199749613299,"31,37,41"
VCSL public-label audit,sign_flip,0.1,trimmed_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9179222222222223,0.02703511191635476,0.9181942962598698,0.02432417728233461,0.36592592592592593,0.11022610506900407,0.11876446407566676,0.019790878588352843,0.053807051433159725,0.022323778439933536,0.8292592592592593,0.031741302557800666,0.8632068228780346,0.0366300306915596,0.7851851851851852,0.08371271665667744,706.6666666666666,75.34144499100965,114.0,39.0,786.0,39.0,193.33333333333334,75.34144499100965,1800.0,0.0,0.053807051433159725,0.022323778439933536,0.02286620031888315,0.009032078784315277,48.08386336870412,16.780269487876787,0.002318869868896897,0.0009366287039407847,476.1189849023779,169.3281739231204,2.3224872482437795e-05,9.404039067172776e-06,47559.982353606494,16949.59766179992,"31,37,41"
VCSL public-label audit,sign_flip,0.2,coordinate_median,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9179320987654321,0.028129300409596058,0.9183679029147452,0.025217445096320533,0.3725925925925926,0.11244385887711678,0.11928071725281512,0.020571676032682,0.05642179645676787,0.022383771139373756,0.827962962962963,0.03514227402813191,0.8663062106895647,0.03665525401489201,0.7781481481481481,0.08950710940335893,700.3333333333334,80.556398463023,110.0,38.157568056677825,790.0,38.157568056677825,199.66666666666666,80.55639846302299,1800.0,0.0,0.05642179645676787,0.022383771139373756,0.022311654799792746,0.009033542907715571,49.496391393361954,17.60029166867078,0.0022616020773087685,0.0009358816517832964,490.3726767875616,177.6029432020416,2.2650148068264204e-05,9.39553057197715e-06,48986.764070149504,17777.894611872816,"31,37,41"
VCSL public-label audit,sign_flip,0.2,fedavg_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9177189300411523,0.027495997556439722,0.918453443139482,0.02455252019231842,0.37333333333333335,0.11106109985604574,0.1298831070016857,0.01600137603275066,0.10527397367221704,0.0239252375565845,0.822037037037037,0.03969145402518967,0.8855086684390091,0.037795668097102796,0.7433333333333333,0.1112942934434934,669.0,100.16486409914407,89.33333333333333,39.11947511576981,810.6666666666666,39.11947511576981,231.0,100.16486409914407,1800.0,0.0,0.10527397367221704,0.0239252375565845,0.02130648071777773,0.00906305735176142,52.275492858629605,19.111643119332516,0.0021579781985823078,0.0009374354294412954,518.4163370279897,192.85385329508267,2.1610408442461837e-05,9.409443900751036e-06,51793.909195657594,19304.496972627603,"31,37,41"
VCSL public-label audit,sign_flip,0.2,krum,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.918356378600823,0.026999537846906823,0.9186465529688969,0.02433808121655483,0.3625925925925926,0.10445232436783598,0.11912020328248307,0.019553185699629497,0.05479394341495458,0.02509328043686977,0.8281481481481481,0.03234809386895515,0.8610669502958436,0.042156080597822165,0.7866666666666667,0.09430054396763887,708.0,84.870489570875,117.33333333333333,46.23130252689549,782.6666666666666,46.23130252689549,192.0,84.870489570875,1800.0,0.0,0.05479394341495458,0.02509328043686977,0.023030409779675697,0.00916037230227725,47.63884151523845,16.04212839791141,0.002335991519985815,0.0009508374605786326,471.62830983558797,161.87965928801503,2.3396889330336605e-05,9.54770972092652e-06,47110.46982507404,16204.008057199413,"31,37,41"
VCSL public-label audit,sign_flip,0.2,trimmed_mean,20,3,multi-round compact-head poisoning stress; not a Byzantine FL proof,0.9179111111111111,0.027959377335314686,0.9183140305846567,0.025095113052612614,0.37296296296296294,0.1108014202639582,0.11971138558251666,0.02031188921390855,0.058009206727115105,0.023596765814572644,0.8272222222222222,0.03444444444444448,0.8661974420674409,0.0356800818401526,0.7766666666666667,0.0912735679018349,699.0,82.1462111116514,110.0,38.1051177665153,790.0,38.1051177665153,201.0,82.1462111116514,1800.0,0.0,0.058009206727115105,0.023596765814572644,0.02219621332258617,0.00889296958528452,49.638171263150525,17.42304921902475,0.00224952734799258,0.0009211081480631464,491.80336456451886,175.81440575561345,2.252879737654409e-05,9.246977963114249e-06,49129.97462771503,17598.863624780362,"31,37,41"
