tier,method,client_id,client_test_pairs_mean,client_test_pairs_std,client_positive_rate_mean,client_positive_rate_std,threshold_at_95_recall_mean,threshold_at_95_recall_std,brier_mean,brier_std,ece_mean,ece_std,seeds
VCSL public-label audit,isotonic_calibrated_score,3,232.66666666666666,86.92717258333745,0.5145145145145146,0.003998995866954627,0.22774207641320746,0.20603379903709376,0.11279551738502165,0.025966324969497776,0.08451475529770253,0.030020002079500063,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,4,46.0,9.899494936611665,0.43492985002418966,0.0013683730647054558,0.1279331830836537,0.11680432843145143,0.16376592280063645,0.038168888221177706,0.1684761110454761,0.012194830385383184,"37,41"
VCSL public-label audit,isotonic_calibrated_score,5,409.0,125.86500705120545,0.5015625,0.0022097086912079927,0.1411838929120035,0.009581708083886182,0.1066576951827371,0.011276761063458235,0.05788638381528378,0.0014166106571571963,"37,41"
VCSL public-label audit,isotonic_calibrated_score,6,550.6666666666666,465.9295368758385,0.48079966566361887,0.01898467746172005,0.40009338203559713,0.23687361732431256,0.12971888126709866,0.04233591862839898,0.10810722917928296,0.06014654611905229,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,7,163.5,57.27564927611035,0.48571257771401244,0.0144566307487924,0.06667002518891688,0.030165139662910248,0.14600233585150718,0.014870308318401249,0.10138925203003249,0.060696891225762176,"37,41"
VCSL public-label audit,isotonic_calibrated_score,8,146.0,100.2197585309404,0.4584680821147356,0.04140579407417961,0.28240709491711896,0.36882044927908686,0.14081290083754297,0.02942147433866158,0.15573650473977696,0.00970477873477796,"31,37,41"
VCSL public-label audit,isotonic_calibrated_score,9,181.33333333333334,178.37133551479997,0.48569520891896284,0.050033243987357735,0.36639077047280494,0.4617278677883904,0.1607715264427306,0.014840217265773682,0.15832277059595082,0.06884790699448062,"31,37,41"
VCSL public-label audit,platt_calibrated_score,0,194.33333333333334,96.00173609541305,0.5248971715122831,0.008915003781583053,0.2669807569178087,0.15833294127079692,0.15471669788344375,0.005407066884317956,0.10626951691724183,0.04780786658935427,"31,37,41"
VCSL public-label audit,platt_calibrated_score,1,69.66666666666667,97.38754198219264,0.5425315425315426,0.02255825227602932,0.2335581392491524,0.1964183116854068,0.12771149871813295,0.034496850601530744,0.1822903550851335,0.10313522500296984,"31,37,41"
VCSL public-label audit,platt_calibrated_score,2,19.5,23.33452377915607,0.5,0.23570226039551584,0.3180422460287373,0.24239118691527092,0.14609650372922925,0.03902811150040154,0.26418530032242327,0.0390803265009701,"37,41"
VCSL public-label audit,platt_calibrated_score,3,232.66666666666666,86.92717258333745,0.5145145145145146,0.003998995866954627,0.2548066272011643,0.18332791925541253,0.11351324983764115,0.024748141072884616,0.08312437733852106,0.02293618344923604,"31,37,41"
