round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
28,fedavg,secureagg,0.13991614038261463,secureagg,3.21120023727417e-06,1.9595958292484283e-05,1344,2688,2.0,31
29,fedavg,secureagg,0.1387355346579045,secureagg,2.6207417249679565e-06,1.7480924725532532e-05,1344,2688,2.0,31
30,fedavg,secureagg,0.13761395355435474,secureagg,3.1711533665657043e-06,2.036895602941513e-05,1344,2688,2.0,31
1,fedavg,heagg,0.32890035021486597,heagg,3.3144839107990265e-05,2.427259460091591e-05,1344,21504,16.0,31
2,fedavg,heagg,0.26964297220141453,heagg,2.199597656726837e-05,2.3655127733945847e-05,1344,21504,16.0,31
3,fedavg,heagg,0.24271566291245494,heagg,2.115592360496521e-05,2.1202024072408676e-05,1344,21504,16.0,31
4,fedavg,heagg,0.22624070810369512,heagg,1.9556377083063126e-05,2.1337997168302536e-05,1344,21504,16.0,31
5,fedavg,heagg,0.2145416187669308,heagg,1.941761001944542e-05,2.0792242139577866e-05,1344,21504,16.0,31
6,fedavg,heagg,0.20548543210675763,heagg,1.92420557141304e-05,2.053799107670784e-05,1344,21504,16.0,31
7,fedavg,heagg,0.1980879931328697,heagg,2.0312145352363586e-05,2.2283755242824554e-05,1344,21504,16.0,31
8,fedavg,heagg,0.19182881346848535,heagg,1.99158675968647e-05,2.121366560459137e-05,1344,21504,16.0,31
9,fedavg,heagg,0.186403783406064,heagg,1.948978751897812e-05,2.027209848165512e-05,1344,21504,16.0,31
10,fedavg,heagg,0.18162082778313937,heagg,2.0126812160015106e-05,2.1482817828655243e-05,1344,21504,16.0,31
11,fedavg,heagg,0.1773508210808744,heagg,2.0139385014772415e-05,2.17328779399395e-05,1344,21504,16.0,31
12,fedavg,heagg,0.1735024406624664,heagg,3.7814024835824966e-05,3.764918074011803e-05,1344,21504,16.0,31
