method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_heagg,multimodal,none,0.9959157318629286,0.9955504797018806,0.02188183807439825,0.9321266968325792,0.8767967145790554,1.0,427,60,397,0,884,0,31
fedavg_heagg,multimodal,none,0.9892723391816091,0.9911689189704371,0.03631961259079903,0.9507042253521126,0.9401330376940134,0.9658314350797267,424,27,386,15,852,1,31
fedavg_heagg,multimodal,none,0.9988183339371043,0.9988208381129218,0.0029498525073746312,0.9882525697503671,0.9854651162790697,0.9912280701754386,339,5,334,3,681,2,31
fedavg_heagg,multimodal,none,0.9947570332480818,0.9953264256435951,0.020460358056265986,0.8702983138780804,0.7953586497890295,0.9921052631578947,377,97,294,3,771,3,31
fedavg_heagg,multimodal,none,0.9985367075136546,0.9987383364755853,0.0,0.9846153846153847,0.9807692307692307,0.9889196675900277,357,7,347,4,715,4,31
fedavg_heagg,multimodal,none,0.9973258525211309,0.9973214333175745,0.0136986301369863,0.9460188933873145,0.9057971014492754,0.9973404255319149,375,39,326,1,741,5,31
fedavg_heagg,multimodal,none,0.9974337833659692,0.9971949234548676,0.012779552715654952,0.9791332263242376,0.9597523219814241,1.0,310,13,300,0,623,6,31
fedavg_heagg,multimodal,none,0.9917659321024419,0.9915625121435692,0.043478260869565216,0.9154160982264665,0.8548009367681498,1.0,365,62,306,0,733,7,31
fedavgft_plain,multimodal,none,0.9959772264898354,0.9956208738354664,0.0262582056892779,0.9355203619909502,0.8822314049586777,1.0,427,57,400,0,884,0,31
fedavgft_plain,multimodal,none,0.9891896065788965,0.9911149411034498,0.03631961259079903,0.9448356807511737,0.9298245614035088,0.9658314350797267,424,32,381,15,852,1,31
fedavgft_plain,multimodal,none,0.9988183339371044,0.9988208402002899,0.0029498525073746312,0.9882525697503671,0.9854651162790697,0.9912280701754386,339,5,334,3,681,2,31
fedavgft_plain,multimodal,none,0.9947301117243236,0.9952255685636738,0.020460358056265986,0.8767833981841764,0.8038379530916845,0.9921052631578947,377,92,299,3,771,3,31
fedavgft_plain,multimodal,none,0.998528882420145,0.9987312656039227,0.0,0.9846153846153847,0.9807692307692307,0.9889196675900277,357,7,347,4,715,4,31
fedavgft_plain,multimodal,none,0.9973258525211308,0.9973214341693177,0.0136986301369863,0.9473684210526315,0.9079903147699758,0.9973404255319149,375,38,327,1,741,5,31
