method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_secureagg_sim,multimodal,none,0.7397024361000599,0.8368038742161131,0.9871382636655949,0.16220431123862245,0.15444843008555098,0.8283828382838284,0.9948186528497409,0.6508474576271186,192,1,310,103,606,9,41
fedavg_quantized_transport_proxy,multimodal,none,0.5475846546627251,0.7048419529657683,0.9918032786885246,0.2958017583664751,0.2811606596345265,0.6618852459016393,1.0,0.3237704918032787,79,0,244,165,488,0,41
fedavg_quantized_transport_proxy,multimodal,none,1.0,1.0,0.0,0.11124451540345699,0.18336562739419499,0.84,1.0,0.6923076923076923,9,0,12,4,25,1,41
fedavg_quantized_transport_proxy,multimodal,none,1.0,1.0,0.0,0.002080140512380573,0.032883898988309054,1.0,1.0,1.0,1,0,3,0,4,2,41
fedavg_quantized_transport_proxy,multimodal,none,0.6881892230576441,0.784667534520537,0.9122807017543859,0.35500759945719673,0.3639853770607718,0.5787401574803149,0.9230769230769231,0.2571428571428571,36,3,111,104,254,3,41
fedavg_quantized_transport_proxy,multimodal,none,0.4985294117647059,0.6101279829511179,0.9117647058823529,0.49455172869309494,0.4967066057367814,0.47297297297297297,1.0,0.025,1,0,34,39,74,4,41
fedavg_quantized_transport_proxy,multimodal,none,0.9973189607517966,0.9978160816194953,0.003703703703703704,0.014042124962458517,0.04059438347492671,0.9869888475836431,0.9924528301886792,0.9813432835820896,263,2,268,5,538,5,41
fedavg_quantized_transport_proxy,multimodal,none,0.999886886358495,0.9998778700537372,0.0,0.012247664337011011,0.05973002172093708,0.9858407079646018,1.0,0.9700374531835206,259,0,298,8,565,6,41
fedavg_quantized_transport_proxy,multimodal,none,0.4375,0.6164423707846922,0.9821428571428571,0.35385491667092256,0.3535206733756606,0.6233766233766234,1.0,0.2689075630252101,32,0,112,87,231,7,41
fedavg_quantized_transport_proxy,multimodal,none,0.7891723060905778,0.8778870388582012,0.9607843137254902,0.1704155524420144,0.17742957403240525,0.8232558139534883,1.0,0.6637168141592921,75,0,102,38,215,8,41
fedavg_quantized_transport_proxy,multimodal,none,0.7397024361000599,0.8368038742161131,0.9871382636655949,0.16220431404312452,0.15444842668432376,0.8283828382838284,0.9948186528497409,0.6508474576271186,192,1,310,103,606,9,41
fedavgft_plain,multimodal,none,0.5475846546627251,0.7048754537154291,0.9918032786885246,0.3002216008644222,0.28946376662386253,0.6598360655737705,1.0,0.319672131147541,78,0,244,166,488,0,41
fedavgft_plain,multimodal,none,1.0,1.0,0.0,0.08892802496560634,0.1755378382966585,0.84,1.0,0.6923076923076923,9,0,12,4,25,1,41
fedavgft_plain,multimodal,none,1.0,1.0,0.0,0.002533967332267911,0.03632469860765405,1.0,1.0,1.0,1,0,3,0,4,2,41
fedavgft_plain,multimodal,none,0.687562656641604,0.7847592314601352,0.9122807017543859,0.35547648049273683,0.3651704706212713,0.5787401574803149,0.9230769230769231,0.2571428571428571,36,3,111,104,254,3,41
fedavgft_plain,multimodal,none,0.49411764705882355,0.6046224116763572,0.9117647058823529,0.4738348552662675,0.4754506571463553,0.47297297297297297,1.0,0.025,1,0,34,39,74,4,41
fedavgft_plain,multimodal,none,0.9973189607517966,0.9978160816194953,0.003703703703703704,0.014013097714378227,0.03986714975589455,0.9869888475836431,0.9924528301886792,0.9813432835820896,263,2,268,5,538,5,41
fedavgft_plain,multimodal,none,0.999886886358495,0.9998778700537372,0.0,0.012525703352983492,0.055458376054086204,0.984070796460177,1.0,0.9662921348314607,258,0,298,9,565,6,41
fedavgft_plain,multimodal,none,0.4380252100840336,0.6166936583582192,0.9821428571428571,0.34960272853467594,0.3476248039418667,0.6233766233766234,1.0,0.2689075630252101,32,0,112,87,231,7,41
fedavgft_plain,multimodal,none,0.7888252646191221,0.8777342557599892,0.9607843137254902,0.1722139877685001,0.18255149819802782,0.8232558139534883,1.0,0.6637168141592921,75,0,102,38,215,8,41
fedavgft_plain,multimodal,none,0.7432993623630715,0.8387650936514506,0.9871382636655949,0.16125681978949324,0.14562555078832173,0.83003300330033,0.9948453608247423,0.6542372881355932,193,1,310,102,606,9,41
