round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
37,fedavg,heagg,0.28829293639604414,heagg,8.24430026113987e-05,8.403277024626732e-05,1680,26880,16.0,31
38,fedavg,heagg,0.28820159408787194,heagg,7.779709994792938e-05,8.281087502837181e-05,1680,26880,16.0,31
39,fedavg,heagg,0.28811575216441987,heagg,7.890071719884872e-05,8.506467565894127e-05,1680,26880,16.0,31
40,fedavg,heagg,0.28803484535750223,heagg,8.139805868268013e-05,8.530076593160629e-05,1680,26880,16.0,31
1,fedavg,plain,0.40831766860380175,plain,1.437310129404068e-05,7.608020678162575e-05,1680,1680,1.0,37
2,fedavg,plain,0.3617550687530821,plain,1.275399699807167e-05,7.467297837138176e-05,1680,1680,1.0,37
3,fedavg,plain,0.3410489418010108,plain,1.4035031199455261e-05,7.406715303659439e-05,1680,1680,1.0,37
4,fedavg,plain,0.32904362712093727,plain,1.164199784398079e-05,6.600283086299896e-05,1680,1680,1.0,37
5,fedavg,plain,0.3211676566199596,plain,1.3020820915699005e-05,7.332907989621162e-05,1680,1680,1.0,37
6,fedavg,plain,0.31560677755837696,plain,1.2738164514303207e-05,6.944872438907623e-05,1680,1680,1.0,37
7,fedavg,plain,0.3114774304418006,plain,1.3247597962617874e-05,7.157493382692337e-05,1680,1680,1.0,37
8,fedavg,plain,0.30829382599830557,plain,1.2794975191354752e-05,7.771700620651245e-05,1680,1680,1.0,37
9,fedavg,plain,0.30576660649211623,plain,1.2984033674001694e-05,7.378309965133667e-05,1680,1680,1.0,37
10,fedavg,plain,0.3037131275692211,plain,2.2203195840120316e-05,9.376136586070061e-05,1680,1680,1.0,37
11,fedavg,plain,0.3020127730544739,plain,1.378403976559639e-05,7.215142250061035e-05,1680,1680,1.0,37
12,fedavg,plain,0.30058287401758477,plain,1.3620126992464066e-05,7.128715515136719e-05,1680,1680,1.0,37
13,fedavg,plain,0.2993649467006015,plain,1.2494157999753952e-05,7.30869360268116e-05,1680,1680,1.0,37
14,fedavg,plain,0.2983164580126866,plain,1.2998003512620926e-05,7.537472993135452e-05,1680,1680,1.0,37
15,fedavg,plain,0.2974057103415307,plain,1.2672040611505508e-05,7.052114233374596e-05,1680,1680,1.0,37
16,fedavg,plain,0.29660856188877677,plain,1.4903023838996887e-05,7.57221132516861e-05,1680,1680,1.0,37
17,fedavg,plain,0.29590626528237396,plain,1.3649929314851761e-05,7.220124825835228e-05,1680,1680,1.0,37
18,fedavg,plain,0.29528400798666005,plain,1.3935845345258713e-05,7.193535566329956e-05,1680,1680,1.0,37
19,fedavg,plain,0.29472990467712973,plain,1.3723038136959076e-05,7.031625136733055e-05,1680,1680,1.0,37
20,fedavg,plain,0.2942342874481587,plain,1.236703246831894e-05,6.860308349132538e-05,1680,1680,1.0,37
21,fedavg,plain,0.2937891963930359,plain,1.2402888387441635e-05,6.777793169021606e-05,1680,1680,1.0,37
