method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,scenario,seed
fedprox_plain,multimodal,none,,,,0.9656301145662848,1.0,0.9656301145662848,590,0,0,21,611,fma_lowpass_copy,37
fedprox_plain,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
fedprox_plain,multimodal,none,,,,0.9266353451391398,0.0,0.0,0,203,2564,0,2767,fma_same_genre_negative,37
fedprox_plain,multimodal,none,,,,0.9886363636363636,1.0,0.9886363636363636,522,0,0,6,528,fma_speed_copy,37
fedavg_secureagg,multimodal,none,,,,0.9917218543046358,1.0,0.9917218543046358,599,0,0,5,604,fma_crop_copy,37
fedavg_secureagg,multimodal,none,,,,0.9785407725321889,0.0,0.0,0,5,228,0,233,fma_cross_genre_negative,37
fedavg_secureagg,multimodal,none,,,,0.9745627980922098,1.0,0.9745627980922098,613,0,0,16,629,fma_dropout_copy,37
fedavg_secureagg,multimodal,none,,,,0.9656301145662848,1.0,0.9656301145662848,590,0,0,21,611,fma_lowpass_copy,37
fedavg_secureagg,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
fedavg_secureagg,multimodal,none,,,,0.9266353451391398,0.0,0.0,0,203,2564,0,2767,fma_same_genre_negative,37
fedavg_secureagg,multimodal,none,,,,0.9886363636363636,1.0,0.9886363636363636,522,0,0,6,528,fma_speed_copy,37
fedavg_heagg,multimodal,none,,,,0.9917218543046358,1.0,0.9917218543046358,599,0,0,5,604,fma_crop_copy,37
fedavg_heagg,multimodal,none,,,,0.9785407725321889,0.0,0.0,0,5,228,0,233,fma_cross_genre_negative,37
fedavg_heagg,multimodal,none,,,,0.9745627980922098,1.0,0.9745627980922098,613,0,0,16,629,fma_dropout_copy,37
fedavg_heagg,multimodal,none,,,,0.9656301145662848,1.0,0.9656301145662848,590,0,0,21,611,fma_lowpass_copy,37
fedavg_heagg,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
fedavg_heagg,multimodal,none,,,,0.9266353451391398,0.0,0.0,0,203,2564,0,2767,fma_same_genre_negative,37
fedavg_heagg,multimodal,none,,,,0.9886363636363636,1.0,0.9886363636363636,522,0,0,6,528,fma_speed_copy,37
fedavgft_plain,multimodal,none,,,,0.9917218543046358,1.0,0.9917218543046358,599,0,0,5,604,fma_crop_copy,37
fedavgft_plain,multimodal,none,,,,0.9828326180257511,0.0,0.0,0,4,229,0,233,fma_cross_genre_negative,37
fedavgft_plain,multimodal,none,,,,0.9793322734499205,1.0,0.9793322734499205,616,0,0,13,629,fma_dropout_copy,37
fedavgft_plain,multimodal,none,,,,0.9656301145662848,1.0,0.9656301145662848,590,0,0,21,611,fma_lowpass_copy,37
fedavgft_plain,multimodal,none,,,,1.0,1.0,1.0,628,0,0,0,628,fma_noise_copy,37
fedavgft_plain,multimodal,none,,,,0.9306107697867727,0.0,0.0,0,192,2575,0,2767,fma_same_genre_negative,37
fedavgft_plain,multimodal,none,,,,0.9886363636363636,1.0,0.9886363636363636,522,0,0,6,528,fma_speed_copy,37
random,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
random,multimodal,none,,,,0.0,0.0,0.0,0,259,0,0,259,fma_cross_genre_negative,41
random,multimodal,none,,,,1.0,1.0,1.0,620,0,0,0,620,fma_dropout_copy,41
random,multimodal,none,,,,1.0,1.0,1.0,592,0,0,0,592,fma_lowpass_copy,41
random,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
random,multimodal,none,,,,0.0,0.0,0.0,0,2741,0,0,2741,fma_same_genre_negative,41
random,multimodal,none,,,,1.0,1.0,1.0,626,0,0,0,626,fma_speed_copy,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
video_similarity,multimodal,none,,,,0.03474903474903475,0.0,0.0,0,250,9,0,259,fma_cross_genre_negative,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,620,0,0,0,620,fma_dropout_copy,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,592,0,0,0,592,fma_lowpass_copy,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
video_similarity,multimodal,none,,,,0.03210507114191901,0.0,0.0,0,2653,88,0,2741,fma_same_genre_negative,41
video_similarity,multimodal,none,,,,1.0,1.0,1.0,626,0,0,0,626,fma_speed_copy,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
audio_similarity,multimodal,none,,,,0.03474903474903475,0.0,0.0,0,250,9,0,259,fma_cross_genre_negative,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,620,0,0,0,620,fma_dropout_copy,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,592,0,0,0,592,fma_lowpass_copy,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
audio_similarity,multimodal,none,,,,0.03210507114191901,0.0,0.0,0,2653,88,0,2741,fma_same_genre_negative,41
audio_similarity,multimodal,none,,,,1.0,1.0,1.0,626,0,0,0,626,fma_speed_copy,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,573,0,0,0,573,fma_crop_copy,41
early_fusion_similarity,multimodal,none,,,,0.03474903474903475,0.0,0.0,0,250,9,0,259,fma_cross_genre_negative,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,620,0,0,0,620,fma_dropout_copy,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,592,0,0,0,592,fma_lowpass_copy,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
early_fusion_similarity,multimodal,none,,,,0.03210507114191901,0.0,0.0,0,2653,88,0,2741,fma_same_genre_negative,41
early_fusion_similarity,multimodal,none,,,,1.0,1.0,1.0,626,0,0,0,626,fma_speed_copy,41
fedavg_plain,multimodal,none,,,,0.9912739965095986,1.0,0.9912739965095986,568,0,0,5,573,fma_crop_copy,41
fedavg_plain,multimodal,none,,,,0.9343629343629344,0.0,0.0,0,17,242,0,259,fma_cross_genre_negative,41
fedavg_plain,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedavg_plain,multimodal,none,,,,0.9797297297297297,1.0,0.9797297297297297,580,0,0,12,592,fma_lowpass_copy,41
fedavg_plain,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedavg_plain,multimodal,none,,,,0.8996716526815031,0.0,0.0,0,275,2466,0,2741,fma_same_genre_negative,41
fedavg_plain,multimodal,none,,,,0.9936102236421726,1.0,0.9936102236421726,622,0,0,4,626,fma_speed_copy,41
fedprox_plain,multimodal,none,,,,0.9912739965095986,1.0,0.9912739965095986,568,0,0,5,573,fma_crop_copy,41
fedprox_plain,multimodal,none,,,,0.9343629343629344,0.0,0.0,0,17,242,0,259,fma_cross_genre_negative,41
fedprox_plain,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedprox_plain,multimodal,none,,,,0.9797297297297297,1.0,0.9797297297297297,580,0,0,12,592,fma_lowpass_copy,41
fedprox_plain,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedprox_plain,multimodal,none,,,,0.8996716526815031,0.0,0.0,0,275,2466,0,2741,fma_same_genre_negative,41
fedprox_plain,multimodal,none,,,,0.9936102236421726,1.0,0.9936102236421726,622,0,0,4,626,fma_speed_copy,41
fedavg_secureagg,multimodal,none,,,,0.9912739965095986,1.0,0.9912739965095986,568,0,0,5,573,fma_crop_copy,41
fedavg_secureagg,multimodal,none,,,,0.9343629343629344,0.0,0.0,0,17,242,0,259,fma_cross_genre_negative,41
fedavg_secureagg,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedavg_secureagg,multimodal,none,,,,0.9797297297297297,1.0,0.9797297297297297,580,0,0,12,592,fma_lowpass_copy,41
fedavg_secureagg,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedavg_secureagg,multimodal,none,,,,0.8996716526815031,0.0,0.0,0,275,2466,0,2741,fma_same_genre_negative,41
fedavg_secureagg,multimodal,none,,,,0.9936102236421726,1.0,0.9936102236421726,622,0,0,4,626,fma_speed_copy,41
fedavg_heagg,multimodal,none,,,,0.9912739965095986,1.0,0.9912739965095986,568,0,0,5,573,fma_crop_copy,41
fedavg_heagg,multimodal,none,,,,0.9343629343629344,0.0,0.0,0,17,242,0,259,fma_cross_genre_negative,41
fedavg_heagg,multimodal,none,,,,0.9903225806451613,1.0,0.9903225806451613,614,0,0,6,620,fma_dropout_copy,41
fedavg_heagg,multimodal,none,,,,0.9797297297297297,1.0,0.9797297297297297,580,0,0,12,592,fma_lowpass_copy,41
fedavg_heagg,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedavg_heagg,multimodal,none,,,,0.8996716526815031,0.0,0.0,0,275,2466,0,2741,fma_same_genre_negative,41
fedavg_heagg,multimodal,none,,,,0.9936102236421726,1.0,0.9936102236421726,622,0,0,4,626,fma_speed_copy,41
fedavgft_plain,multimodal,none,,,,0.9912739965095986,1.0,0.9912739965095986,568,0,0,5,573,fma_crop_copy,41
fedavgft_plain,multimodal,none,,,,0.9382239382239382,0.0,0.0,0,16,243,0,259,fma_cross_genre_negative,41
fedavgft_plain,multimodal,none,,,,0.9870967741935484,1.0,0.9870967741935484,612,0,0,8,620,fma_dropout_copy,41
fedavgft_plain,multimodal,none,,,,0.9797297297297297,1.0,0.9797297297297297,580,0,0,12,592,fma_lowpass_copy,41
fedavgft_plain,multimodal,none,,,,1.0,1.0,1.0,589,0,0,0,589,fma_noise_copy,41
fedavgft_plain,multimodal,none,,,,0.9040496169281285,0.0,0.0,0,263,2478,0,2741,fma_same_genre_negative,41
fedavgft_plain,multimodal,none,,,,0.9936102236421726,1.0,0.9936102236421726,622,0,0,4,626,fma_speed_copy,41
