method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,seed
local_multimodal,multimodal,none,0.9918737777777776,0.993109779860682,0.04633333333333333,0.9511666666666667,0.9246940696579856,0.9823333333333333,2947,240,2760,53,6000,37
fedavg_plain,multimodal,plain,0.9920385555555555,0.9930459558424961,0.03233333333333333,0.9573333333333334,0.9341772151898734,0.984,2952,208,2792,48,6000,37
fedprox_plain,multimodal,plain,0.9920363333333333,0.993044683342664,0.03233333333333333,0.9573333333333334,0.9341772151898734,0.984,2952,208,2792,48,6000,37
fedavg_secureagg,multimodal,secureagg,0.9920385555555555,0.9930459558424961,0.03233333333333333,0.9573333333333334,0.9341772151898734,0.984,2952,208,2792,48,6000,37
fedavg_heagg,multimodal,heagg,0.9920385555555555,0.9930459558424961,0.03233333333333333,0.9573333333333334,0.9341772151898734,0.984,2952,208,2792,48,6000,37
fedavgft_plain,multimodal,plain,0.9922564444444445,0.9932886963502812,0.030666666666666665,0.9598333333333333,0.9377975245953666,0.985,2955,196,2804,45,6000,37
random,multimodal,none,0.5,0.5,1.0,0.5,0.5,1.0,3000,3000,0,0,6000,41
video_similarity,video,none,0.9734385555555556,0.97794001549107,0.19233333333333333,0.5161666666666667,0.5082161612739285,1.0,3000,2903,97,0,6000,41
audio_similarity,audio,none,0.9734385555555556,0.97794001549107,0.19233333333333333,0.5161666666666667,0.5082161612739285,1.0,3000,2903,97,0,6000,41
early_fusion_similarity,multimodal,none,0.9734385555555556,0.97794001549107,0.19233333333333333,0.5161666666666667,0.5082161612739285,1.0,3000,2903,97,0,6000,41
centralized_audio,audio,none,0.9734385555555556,0.97794001549107,0.19233333333333333,0.8578333333333333,0.7943515217987387,0.9656666666666667,2897,750,2250,103,6000,41
centralized_multimodal,multimodal,none,0.9934592222222222,0.9940543405718071,0.028666666666666667,0.9361666666666667,0.8925892589258926,0.9916666666666667,2975,358,2642,25,6000,41
local_multimodal,multimodal,none,0.9938196666666665,0.9945766629209964,0.034666666666666665,0.9371666666666667,0.8932533733133433,0.993,2979,356,2644,21,6000,41
fedavg_plain,multimodal,plain,0.9933775555555555,0.9938944521127191,0.03,0.9468333333333333,0.9105666156202143,0.991,2973,292,2708,27,6000,41
fedprox_plain,multimodal,plain,0.9933788888888889,0.9938966347532155,0.03,0.9468333333333333,0.9105666156202143,0.991,2973,292,2708,27,6000,41
fedavg_secureagg,multimodal,secureagg,0.9933775555555555,0.9938944521127191,0.03,0.9468333333333333,0.9105666156202143,0.991,2973,292,2708,27,6000,41
fedavg_heagg,multimodal,heagg,0.9933775555555555,0.9938944521127191,0.03,0.9468333333333333,0.9105666156202143,0.991,2973,292,2708,27,6000,41
fedavgft_plain,multimodal,plain,0.9938618888888888,0.9944001508984883,0.028333333333333332,0.9486666666666667,0.9141538461538462,0.9903333333333333,2971,279,2721,29,6000,41
