method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_secureagg,multimodal,none,0.9931023526819344,0.9926097852365247,0.03282275711159737,0.9083710407239819,0.8405511811023622,1.0,427,81,376,0,884,0,31
fedavg_secureagg,multimodal,none,0.9892833701953041,0.9910969551795745,0.021791767554479417,0.9624413145539906,0.965675057208238,0.9612756264236902,422,15,398,17,852,1,31
fedavg_secureagg,multimodal,none,0.999585985613,0.9995770218983704,0.0058997050147492625,0.9941262848751835,0.9884393063583815,1.0,342,4,335,0,681,2,31
fedavg_secureagg,multimodal,none,0.9953627675326423,0.9954655852747774,0.017902813299232736,0.9040207522697795,0.84,0.9947368421052631,378,72,319,2,771,3,31
fedavg_secureagg,multimodal,none,0.9985758329812041,0.9985731005452576,0.011299435028248588,0.9846153846153847,0.972972972972973,0.997229916897507,360,10,344,1,715,4,31
fedavg_secureagg,multimodal,none,0.9972092684348587,0.9971902345749911,0.01643835616438356,0.9527665317139001,0.9148418491484185,1.0,376,35,330,0,741,5,31
fedavg_secureagg,multimodal,none,0.9962898072761002,0.9961395668221624,0.02875399361022364,0.956661316211878,0.9198813056379822,1.0,310,27,286,0,623,6,31
fedavg_secureagg,multimodal,none,0.9877977963073258,0.9877678144143506,0.07608695652173914,0.9113233287858117,0.8537735849056604,0.9917808219178083,362,62,306,3,733,7,31
fedavg_heagg,multimodal,none,0.9931023526819344,0.9926097852365247,0.03282275711159737,0.9083710407239819,0.8405511811023622,1.0,427,81,376,0,884,0,31
fedavg_heagg,multimodal,none,0.9892833701953041,0.9910969551795745,0.021791767554479417,0.9624413145539906,0.965675057208238,0.9612756264236902,422,15,398,17,852,1,31
fedavg_heagg,multimodal,none,0.999585985613,0.9995770218983704,0.0058997050147492625,0.9941262848751835,0.9884393063583815,1.0,342,4,335,0,681,2,31
fedavg_heagg,multimodal,none,0.9953627675326423,0.9954655852747774,0.017902813299232736,0.9040207522697795,0.84,0.9947368421052631,378,72,319,2,771,3,31
fedavg_heagg,multimodal,none,0.9985758329812041,0.9985731005452576,0.011299435028248588,0.9846153846153847,0.972972972972973,0.997229916897507,360,10,344,1,715,4,31
fedavg_heagg,multimodal,none,0.9972092684348587,0.9971902345749911,0.01643835616438356,0.9527665317139001,0.9148418491484185,1.0,376,35,330,0,741,5,31
fedavg_heagg,multimodal,none,0.9962898072761002,0.9961395668221624,0.02875399361022364,0.956661316211878,0.9198813056379822,1.0,310,27,286,0,623,6,31
fedavg_heagg,multimodal,none,0.9877977963073258,0.9877678144143506,0.07608695652173914,0.9113233287858117,0.8537735849056604,0.9917808219178083,362,62,306,3,733,7,31
fedavgft_plain,multimodal,none,0.9929229933534558,0.9924252642098936,0.030634573304157548,0.919683257918552,0.8647540983606558,0.9882903981264637,422,66,391,5,884,0,31
fedavgft_plain,multimodal,none,0.9892447616473715,0.9910866866334933,0.021791767554479417,0.965962441314554,0.9638009049773756,0.9703872437357631,426,16,397,13,852,1,31
fedavgft_plain,multimodal,none,0.9995859856129999,0.999577021238486,0.0058997050147492625,0.9941262848751835,0.9884393063583815,1.0,342,4,335,0,681,2,31
fedavgft_plain,multimodal,none,0.9953694979135819,0.9954427344998191,0.017902813299232736,0.9027237354085603,0.8411633109619687,0.9894736842105263,376,71,320,4,771,3,31
fedavgft_plain,multimodal,none,0.9985680078876942,0.9985658936496999,0.011299435028248588,0.9832167832167832,0.9703504043126685,0.997229916897507,360,11,343,1,715,4,31
fedavgft_plain,multimodal,none,0.9972092684348586,0.9971898246648965,0.01643835616438356,0.9527665317139001,0.9148418491484185,1.0,376,35,330,0,741,5,31
fedavgft_plain,multimodal,none,0.9962898072761002,0.9961395668221624,0.02875399361022364,0.956661316211878,0.9198813056379822,1.0,310,27,286,0,623,6,31
fedavgft_plain,multimodal,none,0.9877307921381774,0.9877046734803558,0.07336956521739131,0.9236016371077762,0.8722891566265061,0.9917808219178083,362,53,315,3,733,7,31
fedavg_plain,multimodal,none,0.9864272166903746,0.985752128490506,0.06418918918918919,0.8932874354561101,0.8231884057971014,0.9964912280701754,284,61,235,1,581,0,37
fedavg_plain,multimodal,none,0.9908838790481302,0.9926010012691443,0.02318840579710145,0.9611360239162929,0.9901315789473685,0.9290123456790124,301,3,342,23,669,1,37
fedavg_plain,multimodal,none,0.9988945965277326,0.9990340247529608,0.005917159763313609,0.99002849002849,0.989041095890411,0.9917582417582418,361,4,334,3,702,2,37
fedavg_plain,multimodal,none,0.9938041632263996,0.9938534411052162,0.02557544757033248,0.9300518134715026,0.8847058823529412,0.9868766404199475,376,49,342,5,772,3,37
fedavg_plain,multimodal,none,0.9914288142383663,0.9939503102015698,0.006968641114982578,0.9738675958188153,0.9689655172413794,0.9790940766550522,281,9,278,6,574,4,37
fedavg_plain,multimodal,none,0.9962670583195644,0.997051247151379,0.00954653937947494,0.9774520856820744,0.9666666666666667,0.9914529914529915,464,16,403,4,887,5,37
fedavg_plain,multimodal,none,0.9969326662839335,0.9966614203877691,0.017977528089887642,0.9766355140186916,0.9578454332552693,0.9951338199513382,409,18,427,2,856,6,37
fedavg_plain,multimodal,none,0.99053583855254,0.9901703147084909,0.05010438413361169,0.9457768508863399,0.9083969465648855,0.9916666666666667,476,48,431,4,959,7,37
fedprox_plain,multimodal,none,0.9864272166903746,0.985752128490506,0.06418918918918919,0.8932874354561101,0.8231884057971014,0.9964912280701754,284,61,235,1,581,0,37
fedprox_plain,multimodal,none,0.9908838790481302,0.9926010012691443,0.02318840579710145,0.9611360239162929,0.9901315789473685,0.9290123456790124,301,3,342,23,669,1,37
fedprox_plain,multimodal,none,0.9988945965277326,0.9990340247529608,0.005917159763313609,0.99002849002849,0.989041095890411,0.9917582417582418,361,4,334,3,702,2,37
fedprox_plain,multimodal,none,0.9938041632263998,0.9938534411052162,0.02557544757033248,0.9300518134715026,0.8847058823529412,0.9868766404199475,376,49,342,5,772,3,37
fedprox_plain,multimodal,none,0.9914288142383663,0.9939503102015698,0.006968641114982578,0.9738675958188153,0.9689655172413794,0.9790940766550522,281,9,278,6,574,4,37
fedprox_plain,multimodal,none,0.9962568590253555,0.9970405635252497,0.00954653937947494,0.9774520856820744,0.9666666666666667,0.9914529914529915,464,16,403,4,887,5,37
fedprox_plain,multimodal,none,0.9969326662839335,0.9966614203877691,0.017977528089887642,0.9766355140186916,0.9578454332552693,0.9951338199513382,409,18,427,2,856,6,37
