round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
6,fedprox,plain,0.20980385167831017,plain,2.745073288679123e-06,1.6517937183380127e-05,1344,1344,1.0,31
7,fedprox,plain,0.20229977351708778,plain,2.808868885040283e-06,1.6361940652132034e-05,1344,1344,1.0,31
8,fedprox,plain,0.19597484354834463,plain,3.092922270298004e-06,1.961737871170044e-05,1344,1344,1.0,31
9,fedprox,plain,0.19051740750663781,plain,2.7618370950222015e-06,1.6827136278152466e-05,1344,1344,1.0,31
10,fedprox,plain,0.18572936322512543,plain,2.6980414986610413e-06,1.7443206161260605e-05,1344,1344,1.0,31
11,fedprox,plain,0.18147662879203952,plain,2.7152709662914276e-06,1.7026904970407486e-05,1344,1344,1.0,31
12,fedprox,plain,0.17766369736057597,plain,2.7026981115341187e-06,1.715822145342827e-05,1344,1344,1.0,31
13,fedprox,plain,0.17421963757535458,plain,3.4081749618053436e-06,1.7434824258089066e-05,1344,1344,1.0,31
14,fedprox,plain,0.17108994069069114,plain,3.750436007976532e-06,2.5155022740364075e-05,1344,1344,1.0,31
15,fedprox,plain,0.16823153646090308,plain,2.92900949716568e-06,1.8406659364700317e-05,1344,1344,1.0,31
16,fedprox,plain,0.16560961400901172,plain,2.959277480840683e-06,1.8091872334480286e-05,1344,1344,1.0,31
17,fedprox,plain,0.16319551579105543,plain,3.0491501092910767e-06,1.6999896615743637e-05,1344,1344,1.0,31
18,fedprox,plain,0.160965294011877,plain,2.7241185307502747e-06,1.627812162041664e-05,1344,1344,1.0,31
19,fedprox,plain,0.15889869004239798,plain,3.073830157518387e-06,1.7609912902116776e-05,1344,1344,1.0,31
20,fedprox,plain,0.1569783923974479,plain,3.2372772693634033e-06,1.6475096344947815e-05,1344,1344,1.0,31
21,fedprox,plain,0.15518948345639746,plain,2.4260953068733215e-06,1.6358215361833572e-05,1344,1344,1.0,31
22,fedprox,plain,0.1535190175064182,plain,2.9047951102256775e-06,1.7527025192975998e-05,1344,1344,1.0,31
23,fedprox,plain,0.15195569244587526,plain,2.6989728212356567e-06,1.7537269741296768e-05,1344,1344,1.0,31
24,fedprox,plain,0.15048958984263572,plain,2.9779039323329926e-06,1.7437152564525604e-05,1344,1344,1.0,31
25,fedprox,plain,0.14911196595256954,plain,2.991408109664917e-06,1.7339829355478287e-05,1344,1344,1.0,31
26,fedprox,plain,0.14781508147862066,plain,8.872244507074356e-06,3.2023992389440536e-05,1344,1344,1.0,31
27,fedprox,plain,0.14659206130681254,plain,2.726912498474121e-06,1.7094891518354416e-05,1344,1344,1.0,31
28,fedprox,plain,0.14543677780944397,plain,2.7241185307502747e-06,1.6493257135152817e-05,1344,1344,1.0,31
29,fedprox,plain,0.14434375293978463,plain,2.6710331439971924e-06,1.6246922314167023e-05,1344,1344,1.0,31
30,fedprox,plain,0.14330807549802094,plain,2.669636160135269e-06,1.64140947163105e-05,1344,1344,1.0,31
1,fedavg,secureagg,0.33404971052945653,secureagg,3.4957192838191986e-06,2.0697247236967087e-05,1344,2688,2.0,31
2,fedavg,secureagg,0.27448778816635044,secureagg,2.949964255094528e-06,1.8756836652755737e-05,1344,2688,2.0,31
3,fedavg,secureagg,0.24727999155083732,secureagg,2.834014594554901e-06,1.7169397324323654e-05,1344,2688,2.0,31
4,fedavg,secureagg,0.23058040569643676,secureagg,3.020279109477997e-06,1.7276033759117126e-05,1344,2688,2.0,31
5,fedavg,secureagg,0.21871004612203815,secureagg,2.8810463845729828e-06,1.7825979739427567e-05,1344,2688,2.0,31
6,fedavg,secureagg,0.20952975660257797,secureagg,2.7078203856945038e-06,1.6699079424142838e-05,1344,2688,2.0,31
7,fedavg,secureagg,0.2020490551996788,secureagg,2.9420480132102966e-06,1.5964265912771225e-05,1344,2688,2.0,31
8,fedavg,secureagg,0.19574156178686908,secureagg,3.463122993707657e-06,1.8835067749023438e-05,1344,2688,2.0,31
9,fedavg,secureagg,0.19029777587537633,secureagg,3.2284297049045563e-06,1.7867889255285263e-05,1344,2688,2.0,31
10,fedavg,secureagg,0.1855208636007847,secureagg,2.922024577856064e-06,1.7939135432243347e-05,1344,2688,2.0,31
