method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,brier,ece_15,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_quantized_transport_proxy,multimodal,none,0.9971953892361393,0.9970047662573743,0.015748031496062992,0.031028395840383156,0.06626019684894995,0.9677744209466264,0.9398058252427185,0.9979381443298969,484,31,477,1,993,6,37
fedavg_quantized_transport_proxy,multimodal,none,0.9900169177732381,0.9898923874138896,0.05898876404494382,0.05366600956381289,0.08295140070117575,0.9279661016949152,0.8810126582278481,0.9886363636363636,348,47,309,4,708,7,37
fedavgft_plain,multimodal,none,0.996810207336523,0.9967908794653332,0.02181818181818182,0.0395615363773526,0.07938289497421641,0.9571428571428572,0.9223300970873787,1.0,285,24,251,0,560,0,37
fedavgft_plain,multimodal,none,0.9964602397673263,0.9966142266330786,0.013123359580052493,0.025278226879133742,0.04313651625332164,0.9747003994673769,0.9782016348773842,0.9702702702702702,359,8,373,11,751,1,37
fedavgft_plain,multimodal,none,0.9975122162272219,0.997902112903884,0.005319148936170213,0.023690602215364145,0.0509028416792049,0.9798488664987406,0.9785714285714285,0.9832535885167464,411,9,367,7,794,2,37
fedavgft_plain,multimodal,none,0.9945554557700943,0.9943164366454404,0.03244274809160305,0.05354503705380365,0.0951443643404973,0.9284332688588007,0.8732876712328768,1.0,510,74,450,0,1034,3,37
fedavgft_plain,multimodal,none,0.997728874618216,0.9981926959990028,0.0,0.020100007214280718,0.059102091878119226,0.9911504424778761,0.9911504424778761,0.9911504424778761,112,1,112,1,226,4,37
fedavgft_plain,multimodal,none,0.997381802841959,0.9973574410670194,0.010706638115631691,0.03188177015281412,0.06638288587485884,0.9550321199143469,0.9241516966067864,0.9914346895074947,463,38,429,4,934,5,37
fedavgft_plain,multimodal,none,0.9971953892361393,0.9970047662573743,0.015748031496062992,0.030707200022173635,0.06496683836542654,0.9697885196374623,0.9434697855750487,0.9979381443298969,484,29,479,1,993,6,37
fedavgft_plain,multimodal,none,0.9901286389172625,0.9899417035986819,0.06179775280898876,0.05201937559061336,0.07796125934779276,0.942090395480226,0.9038961038961039,0.9886363636363636,348,37,319,4,708,7,37
