round,method,privacy_mode,mean_client_loss,mode,encryption_time_sec,aggregation_time_sec,plain_bytes,protected_bytes,ciphertext_expansion,seed
2,fedavg,secureagg,0.265017609203924,secureagg,3.1171366572380066e-06,2.044718712568283e-05,1680,3360,2.0,31
3,fedavg,secureagg,0.24226670267762018,secureagg,3.146938979625702e-06,2.1115876734256744e-05,1680,3360,2.0,31
4,fedavg,secureagg,0.22925502849613538,secureagg,3.1800009310245514e-06,2.219807356595993e-05,1680,3360,2.0,31
5,fedavg,secureagg,0.22048433898228686,secureagg,2.8260983526706696e-06,2.0198989659547806e-05,1680,3360,2.0,31
6,fedavg,secureagg,0.21397191012492445,secureagg,3.3392570912837982e-06,1.9269995391368866e-05,1680,3360,2.0,31
7,fedavg,secureagg,0.2088284905747091,secureagg,3.822147846221924e-06,2.409517765045166e-05,1680,3360,2.0,31
8,fedavg,secureagg,0.20459413986278996,secureagg,3.7262216210365295e-06,2.2615306079387665e-05,1680,3360,2.0,31
9,fedavg,secureagg,0.2010052910837318,secureagg,3.394670784473419e-06,2.559088170528412e-05,1680,3360,2.0,31
10,fedavg,secureagg,0.19789864433211404,secureagg,3.1939707696437836e-06,2.2129155695438385e-05,1680,3360,2.0,31
11,fedavg,secureagg,0.19516657795294734,secureagg,3.2032839953899384e-06,2.2285152226686478e-05,1680,3360,2.0,31
12,fedavg,secureagg,0.192734523470624,secureagg,3.779307007789612e-06,2.1080952137708664e-05,1680,3360,2.0,31
13,fedavg,secureagg,0.19054863945126285,secureagg,2.8419308364391327e-06,1.99219211935997e-05,1680,3360,2.0,31
14,fedavg,secureagg,0.18856869404256074,secureagg,3.400258719921112e-06,2.2416003048419952e-05,1680,3360,2.0,31
15,fedavg,secureagg,0.18676374973055415,secureagg,2.696644514799118e-06,1.925090327858925e-05,1680,3360,2.0,31
16,fedavg,secureagg,0.18510943556241372,secureagg,3.3620744943618774e-06,2.097291871905327e-05,1680,3360,2.0,31
17,fedavg,secureagg,0.18358615911234616,secureagg,3.1921081244945526e-06,1.9646715372800827e-05,1680,3360,2.0,31
18,fedavg,secureagg,0.1821778963486313,secureagg,3.2419338822364807e-06,2.1545682102441788e-05,1680,3360,2.0,31
19,fedavg,secureagg,0.18087134897592289,secureagg,3.453809767961502e-06,2.6794616132974625e-05,1680,3360,2.0,31
20,fedavg,secureagg,0.17965534250724208,secureagg,3.4659169614315033e-06,2.2380147129297256e-05,1680,3360,2.0,31
21,fedavg,secureagg,0.17852038631387573,secureagg,3.6051496863365173e-06,2.5921035557985306e-05,1680,3360,2.0,31
22,fedavg,secureagg,0.17745834534269075,secureagg,2.9657967388629913e-06,2.6304274797439575e-05,1680,3360,2.0,31
23,fedavg,secureagg,0.17646219054264023,secureagg,3.3690594136714935e-06,2.6563648134469986e-05,1680,3360,2.0,31
24,fedavg,secureagg,0.17552580590947636,secureagg,3.4258700907230377e-06,2.1529383957386017e-05,1680,3360,2.0,31
25,fedavg,secureagg,0.17464383702675318,secureagg,3.262888640165329e-06,2.1640677005052567e-05,1680,3360,2.0,31
