method,modality,privacy_mode,roc_auc,pr_auc,fpr_at_95_recall,accuracy,precision,recall,tp,fp,tn,fn,n,client_id,seed
fedavg_secureagg,multimodal,none,0.298014888337469,0.44595335218015575,0.9919354838709677,0.5118110236220472,1.0,0.046153846153846156,6,0,124,124,254,7,37
fedavg_secureagg,multimodal,none,0.4465737514518002,0.6158292758158008,0.9841269841269841,0.46206896551724136,1.0,0.04878048780487805,4,0,63,78,145,8,37
fedavg_secureagg,multimodal,none,0.4788845441448858,0.5938243873079583,0.986046511627907,0.6281179138321995,0.7980769230769231,0.3672566371681416,83,21,194,143,441,9,37
fedavg_heagg,multimodal,none,0.4651350174216028,0.4980241414743888,0.9732142857142857,0.5571095571095571,0.7027027027027027,0.12682926829268293,26,11,213,179,429,0,37
fedavg_heagg,multimodal,none,1.0,1.0,0.0,0.9642857142857143,1.0,0.9090909090909091,10,0,17,1,28,1,37
fedavg_heagg,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,6,0,3,0,9,2,37
fedavg_heagg,multimodal,none,0.7311883322157295,0.7735651463655899,0.8082191780821918,0.6384083044982699,0.9325842696629213,0.2902097902097902,83,6,286,203,578,3,37
fedavg_heagg,multimodal,none,0.640780020526856,0.6489819099436762,0.8607594936708861,0.5228758169934641,1.0,0.013513513513513514,1,0,79,73,153,4,37
fedavg_heagg,multimodal,none,0.9799583911234397,0.9845759504066357,0.04285714285714286,0.9519230769230769,0.9514563106796117,0.9514563106796117,196,10,200,10,416,5,37
fedavg_heagg,multimodal,none,0.9975134354696398,0.9958965534645183,0.003663003663003663,0.9945155393053017,0.9963369963369964,0.9927007299270073,272,1,272,2,547,6,37
fedavg_heagg,multimodal,none,0.298014888337469,0.44595335218015575,0.9919354838709677,0.5118110236220472,1.0,0.046153846153846156,6,0,124,124,254,7,37
fedavg_heagg,multimodal,none,0.4465737514518002,0.6158292758158008,0.9841269841269841,0.46206896551724136,1.0,0.04878048780487805,4,0,63,78,145,8,37
fedavg_heagg,multimodal,none,0.4788845441448858,0.5938243873079583,0.986046511627907,0.6281179138321995,0.7980769230769231,0.3672566371681416,83,21,194,143,441,9,37
fedavg_plain,multimodal,none,0.4713389691846196,0.5317910186809345,0.9473684210526315,0.5300261096605744,0.7407407407407407,0.10362694300518134,20,7,183,173,383,0,41
fedavg_plain,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,12,0,12,0,24,1,41
fedavg_plain,multimodal,none,0.7145460066808381,0.7376666699586916,0.8164794007490637,0.5931558935361216,0.8813559322033898,0.20077220077220076,52,7,260,207,526,3,41
fedavg_plain,multimodal,none,0.6530032467532467,0.6565151849099474,0.953125,0.46099290780141844,1.0,0.012987012987012988,1,0,64,76,141,4,41
fedavg_plain,multimodal,none,0.9804643573743743,0.9811959546536992,0.05069124423963134,0.9436619718309859,0.964824120603015,0.9186602870813397,192,7,210,17,426,5,41
fedavg_plain,multimodal,none,0.9985889596784538,0.99829967368494,0.007326007326007326,0.9943396226415094,0.9922480620155039,0.9961089494163424,256,2,271,1,530,6,41
fedavg_plain,multimodal,none,0.31449468085106386,0.44782524550533287,0.9945652173913043,0.510752688172043,1.0,0.031914893617021274,6,0,184,182,372,7,41
fedavg_plain,multimodal,none,0.34546084546084543,0.4709395567949606,1.0,0.4868421052631579,0.0,0.0,0,0,74,78,152,8,41
fedavg_plain,multimodal,none,0.44925874519743325,0.6037413174662304,0.9680365296803652,0.6412556053811659,0.9036144578313253,0.3303964757709251,75,8,211,152,446,9,41
fedprox_plain,multimodal,none,0.4713662394327789,0.5317861014397697,0.9473684210526315,0.5300261096605744,0.7407407407407407,0.10362694300518134,20,7,183,173,383,0,41
fedprox_plain,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,12,0,12,0,24,1,41
fedprox_plain,multimodal,none,0.7145460066808382,0.7377302054169368,0.8164794007490637,0.5931558935361216,0.8813559322033898,0.20077220077220076,52,7,260,207,526,3,41
fedprox_plain,multimodal,none,0.653409090909091,0.6567696601644226,0.953125,0.46099290780141844,1.0,0.012987012987012988,1,0,64,76,141,4,41
fedprox_plain,multimodal,none,0.9804643573743743,0.9811959546536992,0.05069124423963134,0.9436619718309859,0.964824120603015,0.9186602870813397,192,7,210,17,426,5,41
fedprox_plain,multimodal,none,0.9985889596784538,0.99829967368494,0.007326007326007326,0.9943396226415094,0.9922480620155039,0.9961089494163424,256,2,271,1,530,6,41
fedprox_plain,multimodal,none,0.3144657724329325,0.4478049672940947,0.9945652173913043,0.510752688172043,1.0,0.031914893617021274,6,0,184,182,372,7,41
fedprox_plain,multimodal,none,0.34546084546084543,0.4709395567949606,1.0,0.4868421052631579,0.0,0.0,0,0,74,78,152,8,41
fedprox_plain,multimodal,none,0.449238629734677,0.6037361103297643,0.9680365296803652,0.6412556053811659,0.9036144578313253,0.3303964757709251,75,8,211,152,446,9,41
fedavg_secureagg,multimodal,none,0.4713389691846196,0.5317910186809345,0.9473684210526315,0.5300261096605744,0.7407407407407407,0.10362694300518134,20,7,183,173,383,0,41
fedavg_secureagg,multimodal,none,1.0,1.0,0.0,1.0,1.0,1.0,12,0,12,0,24,1,41
fedavg_secureagg,multimodal,none,0.7145460066808381,0.7376666699586916,0.8164794007490637,0.5931558935361216,0.8813559322033898,0.20077220077220076,52,7,260,207,526,3,41
fedavg_secureagg,multimodal,none,0.6530032467532467,0.6565151849099474,0.953125,0.46099290780141844,1.0,0.012987012987012988,1,0,64,76,141,4,41
fedavg_secureagg,multimodal,none,0.9804643573743743,0.9811959546536992,0.05069124423963134,0.9436619718309859,0.964824120603015,0.9186602870813397,192,7,210,17,426,5,41
fedavg_secureagg,multimodal,none,0.9985889596784538,0.99829967368494,0.007326007326007326,0.9943396226415094,0.9922480620155039,0.9961089494163424,256,2,271,1,530,6,41
fedavg_secureagg,multimodal,none,0.31449468085106386,0.44782524550533287,0.9945652173913043,0.510752688172043,1.0,0.031914893617021274,6,0,184,182,372,7,41
fedavg_secureagg,multimodal,none,0.34546084546084543,0.4709395567949606,1.0,0.4868421052631579,0.0,0.0,0,0,74,78,152,8,41
